,TF,TG
0,Aatf,Trp53
1,Abl1,Trp73
2,Aebp2,Snai2
3,Aes,Ihh
4,Ahr,Vav3
5,Aire,F11
6,Alx4,Fgf10
7,Ankrd1,Nppa
8,Apbb1,Notch1
9,Apc,Trp53
10,Apex1,Tlr4
11,Ar,rsl
12,Arid3a,Igh
13,Arid3b,Igh
14,Arid5b,Sox9
15,Arl6ip5,Xrcc1
16,Arnt,Th
17,Arntl,Wnt10a
18,Arntl2,Thbd
19,Arx,Shh
20,Ascl1,Tph2
21,Ash1l,Timp1
22,Asxl1,Fabp4
23,Atf1,Thbs1
24,Atf2,Ucp1
25,Atf3,Tnfrsf10b
26,Atf4,Trib3
27,Atf6,Wbp1
28,Atm,Trp53
29,Atoh1,Pou4f3
30,Bach1,Trp53
31,Bach2,Prdm1
32,Barx2,Pax1
33,Batf2,Tnf
34,Batf3,Irf8
35,Bcl11a,Frzb
36,Bcl11b,Zbtb7b
37,Bcl3,Ubc
38,Bcl6,Tbx21
39,Bcl6b,Rbpj
40,Bhlhe40,Il2ra
41,Bmi1,Pten
42,Bmp4,Chst11
43,Bmp6,Mycn
44,Brca1,Tpt1
45,Brca2,Cdkn1a
46,Btg2,Creb1
47,Bub3,Apod
48,Cbfa2t3,Epb42
49,Cbx6,Ccne1
50,Ccnd1,Cdkn2a
51,Cd7,Nfkb1
52,Cdx1,Mafb
53,Cdx2,Xist
54,Cdx4,Hoxa9
55,Cebpa,Zbtb16
56,Cebpb,Ucp1
57,Cebpe,Mxd1
58,Cebpg,Il6
59,Cebpz,Hspa1b
60,Chd1,Ubtfl1
61,Chd4,Ngfr
62,Chd7,Sox4
63,Chd8,Tcf4
64,Ciita,Oscar
65,Cited2,Wnt4
66,Clock,Vwf
67,Cnot3,Zfx
68,Cnot7,Tob1
69,Cops5,Hand2
70,Creb1,Twist1
71,Creb3,Herpud1
72,Creb3l1,Slc1a4
73,Creb3l3,Smurf1
74,Creb3l4,Edem1
75,Crebbp,Trp53
76,Crebzf,Adipoq
77,Crem,Ren1
78,Crtc1,Creb1
79,Crx,Samd7
80,Cry1,Per2
81,Csf1,Cd36
82,Csf2,Itgb3
83,Ctcf,Pax6
84,Ctcfl,Gal3st1
85,Ctf1,Tgfb1
86,Ctnnb1,Wnt4
87,Ctr9,Il6
88,Cux1,Sis
89,Cux2,Cdkn1b
90,Dab2,Axin1
91,Dach1,Sox2
92,Dach2,Myog
93,Daxx,Trp53
94,Dbp,Per1
95,Ddit3,Nos3
96,Ddx5,Igf2
97,Ddx54,Mbp
98,Ddx58,Ifnb1
99,Deaf1,Eif4g3
100,Dlx1,Arx
101,Dlx2,Pagr1a
102,Dlx3,Runx2
103,Dlx5,Wnt5a
104,Dmap1,Bmi1
105,Dmbx1,Otx2
106,Dmp1,Trp53
107,Dmrt1,Sox2
108,Dmrt2,Myf5
109,Dmtf1,Tsp1
110,Dnajc2,Id1
111,Dnmt1,Trp53
112,Dnmt3a,Vtn
113,Dnmt3b,Vtn
114,Dot1l,Scnn1a
115,Dtx1,Smarcc1
116,E2f1,Vegfa
117,E2f2,Mcm5
118,E2f3,Tfe3
119,E2f4,Stmn1
120,E2f5,Mir449a
121,E2f8,E2f1
122,E4f1,Ids
123,Ebf1,Zfp521
124,Edn1,Ren1
125,Egr1,Il12a
126,Egr2,Zbtb16
127,Egr3,Ngfr
128,Egr4,Slc12a5
129,Ehf,Tlr11
130,Ehmt1,Ccnd1
131,Ehmt2,Wnt10a
132,Eif2ak2,Stat1
133,Elf1,Tollip
134,Elf2,Cd3d
135,Elf3,Tlr11
136,Elf4,Trp53
137,Elf5,Stat5a
138,Elk1,Tbp
139,Elk3,Serpine1
140,Ell3,Zeb2
141,Elp2,Pou5f1
142,Elp3,Pou5f1
143,Emx2,Pax6
144,En1,Wnt7a
145,En2,Pax5
146,Eomes,Sox2
147,Ep300,Wnt4
148,Epas1,Vcam1
149,Epc1,Tagln
150,Epo,Osm
151,Epor,Cish
152,Erf,Utrn
153,Erg,Vwf
154,Esr1,Vegfa
