,TF,TG
0,Mapk1,Egr1
1,Nfkb2,Snd1
2,Fus,Sod2
3,Mdm2,Trp53
4,Zhx3,Zhx2
5,Khdrbs1,Ece1
6,Egr2,Zbtb16
7,Raf1,Mapk1
8,Tardbp,Ran
9,Crebbp,Trp53
10,Tob1,Ccnd1
11,Bach1,Trp53
12,Nf1,Mt1
13,Pura,Mbp
14,Tial1,Thy1
15,Jun,Slc39a14
16,Smarca5,Dido1
17,Ube2k,Nfe2l2
18,Tfe3,Txnip
19,Max,Trp53
20,Klf6,Serpinh1
21,Smarca2,Tmem50a
22,Fmr1,Rac1
23,Wwtr1,Zeb1
24,Nfyc,Srebf1
25,Apc,Trp53
26,Ets1,Zeb1
27,Id2,Zbtb16
28,Zbtb7a,Nfatc1
29,Pcbp2,Trp53
30,Hnrnpd,Thy1
31,Fosl2,Tgfb3
32,Rela,Yy1
33,Nfatc4,Ptgs2
34,Kpna2,Klf4
35,Notch2,Tcf3
36,Tsg101,Mdm2
37,Erf,Utrn
38,Ski,Srebf1
39,Ddx54,Mbp
40,Taf9,Trp53
41,Smad3,Acta2
42,Map3k7,Nfkb1
43,Fos,Wee1
44,Trps1,Stat3
45,Skil,Trp53
46,Trim28,Zfx
47,Xbp1,Vegfa
48,Nr1d2,Gja1
49,Pias2,Nr3c1
50,Nfib,Fam89b
51,Gabpa,Sod3
52,Stat5a,Socs3
53,Btg2,Creb1
54,Ncoa5,Myc
55,Trp53,Klf4
56,Nfix,Fam89b
57,Ssb,Lamb1
58,Yy1,Zhx1
59,Nfyb,Srebf1
60,Epc1,Tagln
61,Smad7,Vegfa
62,Cnot7,Tob1
63,Sox4,Tcf4
64,Junb,Serpine1
65,Ncor2,Sirt1
66,Id3,Vcam1
67,Zbtb20,Sox9
68,Elf1,Tollip
69,Nr2c2,Nfkb1
70,Notch1,Tcf3
71,Creb3,Herpud1
72,Jarid2,Notch1
73,Pou2af1,Spib
74,Fosb,Mmp2
75,Tgfb1i1,Tpt1
76,Jund,Tcirg1
77,Jdp2,Trp53
78,Smad4,Vegfa
79,Hsf1,Hspa1b
80,Thra,Jag1
81,Deaf1,Eif4g3
82,Nr4a1,Serpine1
83,Gtf2i,Tgfbr2
84,Chd7,Sox4
85,Srf,Tgfb1i1
86,Esr1,Vegfa
87,Lmo2,Runx1
88,Hif1a,Vegfa
